                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.2098,                0.64043,                0.85756,                0.68885,                0.56517,                0.60648,                0.32583,                 1.2007,                0.62979,                0.86824,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.2005,                0.63607,                0.86179,                0.68209,                0.53576,                0.57934,                0.31333,                  1.217,                0.63197,                0.87078,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.2073,                0.63751,                0.85641,                0.68801,                0.55928,                 0.5886,                 0.3145,                 1.2313,                0.64007,                0.87259,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.1952,                0.63212,                0.85813,                0.71237,                0.56134,                0.59839,                0.31185,                 1.2032,                0.62759,                0.86941,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.1963,                0.63659,                0.85813,                0.73883,                0.53746,                0.58949,                0.32131,                  1.194,                0.62696,                0.86738,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.2021,                 0.6377,                0.85509,                0.74712,                0.54572,                0.59329,                0.31972,                 1.2052,                0.62487,                0.86931,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.1925,                0.63092,                0.85715,                0.74776,                0.55547,                0.60266,                0.32313,                 1.1898,                0.61853,                0.86988,                0.00901,                0.00901,                0.00901
                    102,                    1.2,                0.63565,                 0.8568,                0.70045,                0.56764,                0.59153,                 0.3116,                 1.2121,                0.63384,                0.87006,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.2128,                0.64055,                0.85339,                0.72741,                0.56632,                0.60215,                0.32506,                 1.1838,                0.61807,                0.86476,              0.0089902,              0.0089902,              0.0089902
                    104,                  1.196,                0.63334,                0.85724,                 0.7017,                0.55846,                0.59681,                0.31971,                 1.1819,                0.61476,                0.86783,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.1871,                0.63234,                0.85724,                0.73751,                0.55011,                 0.6089,                0.33038,                 1.1913,                0.62546,                 0.8689,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.1909,                0.62898,                 0.8564,                0.70733,                0.55516,                0.59543,                0.32342,                 1.1924,                0.61784,                0.86488,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.1715,                0.62538,                0.85307,                0.71909,                0.55584,                0.60859,                0.31836,                 1.1876,                0.62121,                0.86738,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.2052,                0.63366,                 0.8554,                0.71741,                0.57113,                0.61395,                0.33472,                 1.1899,                0.61185,                0.86501,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.1816,                0.62651,                  0.851,                0.75811,                0.55562,                0.61297,                0.32816,                 1.1848,                0.61252,                0.86531,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.1742,                0.62048,                0.85455,                0.73052,                0.56938,                0.62353,                0.33257,                 1.1745,                0.60826,                0.86508,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.1821,                0.62904,                0.85057,                0.75798,                0.55736,                0.61573,                0.33412,                 1.1969,                0.61297,                0.86597,               0.008911,               0.008911,               0.008911
                    112,                  1.176,                0.62156,                0.85183,                0.70486,                0.56232,                0.60463,                 0.3318,                 1.1674,                0.60828,                0.86193,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.1726,                0.62066,                0.85428,                0.74419,                0.56012,                0.61063,                0.33388,                 1.1716,                0.60792,                0.86246,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.1794,                0.62132,                0.85491,                0.72367,                0.55165,                0.60511,                0.32545,                 1.1823,                0.62207,                0.86501,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.2025,                0.63541,                0.85531,                0.71809,                0.56841,                0.61207,                0.33331,                 1.1776,                0.61695,                0.86645,              0.0088714,              0.0088714,              0.0088714
                    116,                  1.174,                0.62195,                0.84894,                0.73596,                 0.5625,                0.61352,                0.33146,                 1.1731,                0.60583,                0.86485,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.1821,                0.62485,                0.84922,                0.71235,                0.57461,                0.61944,                0.33562,                 1.1799,                 0.6056,                0.86403,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.1672,                0.61105,                 0.8489,                0.73234,                0.55382,                0.61542,                0.33618,                 1.1737,                0.60744,                0.86347,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.1587,                0.60927,                0.85322,                0.69307,                0.58033,                0.61336,                0.33113,                 1.1716,                0.61007,                0.86366,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.1629,                0.61372,                0.85325,                0.70844,                0.57209,                0.60611,                0.33184,                 1.1883,                0.60719,                0.86787,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.1623,                0.61579,                0.85061,                0.75343,                0.54074,                0.60392,                0.32843,                 1.1691,                0.61854,                0.86362,               0.008812,               0.008812,               0.008812
                    122,                 1.1633,                0.60862,                 0.8496,                0.73276,                0.56362,                 0.6173,                0.33905,                 1.1542,                0.59994,                0.86282,              0.0088021,              0.0088021,              0.0088021
                    123,                   1.16,                0.61399,                0.85223,                0.73365,                0.58581,                0.62828,                0.33932,                 1.1532,                0.59772,                0.86001,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.1462,                0.60883,                0.84703,                0.76194,                0.56692,                 0.6252,                0.34323,                 1.1537,                0.59674,                 0.8607,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.1534,                0.60784,                0.84875,                0.74189,                0.57905,                0.63354,                0.34669,                 1.1594,                0.59537,                0.86327,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.1519,                0.60336,                0.84906,                0.75295,                   0.57,                0.61878,                0.34098,                 1.1637,                0.60021,                 0.8632,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.1474,                0.60563,                0.84954,                0.78737,                0.54714,                0.61822,                0.34366,                 1.1514,                0.59888,                0.86078,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.1481,                0.60666,                0.84734,                0.76124,                0.54221,                0.61083,                0.33418,                 1.1807,                0.60668,                 0.8642,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.1497,                0.60796,                0.84981,                0.75125,                0.57484,                0.63225,                0.34206,                 1.1551,                0.59662,                0.85802,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.1463,                0.60949,                0.84866,                0.73438,                0.57354,                0.63773,                0.34529,                  1.158,                 0.5972,                0.86024,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.1529,                0.60615,                0.84682,                0.76523,                0.58835,                0.63762,                0.34686,                 1.1544,                0.59019,                0.86036,               0.008713,               0.008713,               0.008713
                    132,                 1.1421,                0.59709,                0.84744,                0.72217,                0.58484,                 0.6181,                0.33445,                 1.1536,                0.60612,                  0.862,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.1317,                0.59501,                0.84862,                 0.7368,                0.57553,                0.63101,                0.34151,                 1.1397,                0.59046,                0.86062,              0.0086932,              0.0086932,              0.0086932
